# MLPerf Inference v6.1, closed division: the header and the rows
# the calculators use, copied verbatim from summary.csv.
# source: https://github.com/mlcommons/inference_results_v6.1/blob/main/summary.csv
# commit: 5174fca85775b97127da8e3ff07f1bb776880fc4 (2026-09-14)
# checked: 2026-09-19
# license: Apache-2.0, (c) MLCommons; lines starting with # are ours
Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,total_accelerators,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types,design_power_watts,PrivateID
"Nebius","available","closed","datacenter","Nebius B200 n1 (8x B200-SXM-180GB, TensorRT)","B200-SXM-180GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","89856.3","exact_match: 82.998","1","Intel(R) Xeon(R) Platinum 8580","2","60","NVIDIA B200-SXM-180GB","8","8","./closed/Nebius/results/B200-SXM-180GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04.3 LTS (Linux kernel: 6.11.0-1016-nvidia #16-Ubuntu SMP PREEMPT_DYNAMIC Sun Sep 21 17:06:33 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux)","B200 TGP 1000W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Nebius","available","closed","datacenter","Nebius B200 n1 (8x B200-SXM-180GB, TensorRT)","B200-SXM-180GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Offline","88491.0","exact_match: 83.040","1","Intel(R) Xeon(R) Platinum 8580","2","60","NVIDIA B200-SXM-180GB","8","8","./closed/Nebius/results/B200-SXM-180GBx8_TRT/gpt-oss-120b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04.3 LTS (Linux kernel: 6.11.0-1016-nvidia #16-Ubuntu SMP PREEMPT_DYNAMIC Sun Sep 21 17:06:33 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux)","B200 TGP 1000W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Nebius","available","closed","datacenter","Nebius B300 n1 (8x B300-SXM-270GB, TensorRT)","B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","108124.0","exact_match: 83.224","1","Intel(R) Xeon(R) Platinum 8570","2","48","NVIDIA B300-SXM-270GB","8","8","./closed/Nebius/results/B300-SXM-270GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Nebius","available","closed","datacenter","Nebius RTX PRO 6000 n1 (8x RTX-PRO-6000-PCIE-96GB, TensorRT)","RTX_PRO_6000_PCIE_96GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","14784.3","exact_match: 83.717","1","Intel(R) Xeon(R) 6776P","2","96","NVIDIA RTX PRO 6000 Blackwell Server Edition","8","8","./closed/Nebius/results/RTX_PRO_6000_PCIE_96GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04.4 LTS, Linux 6.11.0-1016-nvidia","KVM virtual machine with 192 vCPUs presented as 2 sockets x 48 cores x 2 threads; 2 virtual NUMA nodes; 8 attached GPUs with 600 W power limit each. nvidia-smi reports CUDA 13.0 driver compatibility; CUDA toolkit and runtime versions are container-specific","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"NVIDIA","available","closed","datacenter","NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64, TensorRT)","GB200-NVL72_GB200-186GB_aarch64x72_TRT","gpt-oss-120b","gpt-oss-120b","Server","899005.0","exact_match: 83.914","18","NVIDIA Grace CPU","2","144","NVIDIA GB200","4","72","./closed/NVIDIA/results/GB200-NVL72_GB200-186GB_aarch64x72_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.1","Ubuntu 24.04","NVIDIA GB200 NVL72, 1200W TGP Per GPU","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"NVIDIA","available","closed","datacenter","NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64, TensorRT)","GB200-NVL72_GB200-186GB_aarch64x72_TRT","gpt-oss-120b","gpt-oss-120b","Interactive","625205.0","exact_match: 83.374","18","NVIDIA Grace CPU","2","144","NVIDIA GB200","4","72","./closed/NVIDIA/results/GB200-NVL72_GB200-186GB_aarch64x72_TRT/gpt-oss-120b/Interactive/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.1","Ubuntu 24.04","NVIDIA GB200 NVL72, 1200W TGP Per GPU","closed","0","v6.1","1","False","Tokens/s","fp4","None",""
