concurrency,requests,output_tok_s,ttft_p50_ms,tpot_mean_ms,tpot_p99_ms
1,16,32.64014648440819,148.41906850006126,28.626546028771738,39.36221389604176
2,16,65.05815252887992,252.8763849995812,27.53053343849207,30.641715753970512
4,16,90.76632722506136,367.5952925000274,38.76917984623,50.241134741266556
8,32,121.4645448667092,784.6411764999175,54.79374270634982,71.48973602492218
16,64,157.23832421481887,1410.1680344997476,81.78268214781825,123.801331756832
32,128,183.18277644804638,2719.214962499791,135.72729590290155,178.83287159270324
64,256,265.8536469248037,4430.969978000121,181.01671535088045,252.63036014920803
128,512,272.90018055030174,5215.790322499743,391.0695651539874,499.6081849442824
